     36      5                             0                                                0.0000000000
    158      5                          1415                                        500000000.0000000000
     76      5                          3139                                       1000000000.0000000000
    123      5                          4570                                       1500000000.0000000000
    115      5                          6160                                       2000000000.0000000000
    123      5                          7873                                       2500000000.0000000000
     23      5                          9621                                       3000000000.0000000000
     23      5                         11060                                       3500000000.0000000000
    123      5                         13282                                       4000000000.0000000000
    125      5                         14767                                       4500000000.0000000000
    123      5                         16485                                       5000000000.0000000000
    123      5                         18663                                       5500000000.0000000000
     76      5                         20151                                       6000000000.0000000000
    103      5                         22206                                       6500000000.0000000000
    125      5                         24111                                       7000000000.0000000000
    123      5                         25263                                       7500000000.0000000000
    158      5                         27147                                       8000000000.0000000000
    170      2                         33317                                       8500000000.0000000000
    167      2                         87094                                       9000000000.0000000000
     65      2                        106350                                      15500000000.0000000000
    167      2                        121803                                      17500000000.0000000000
    167      2                        158168                                      19500000000.0000000000
    169      2                        162749                                      23500000000.0000000000
    130      2                        169533                                      24000000000.0000000000
     65      2                        177742                                      25000000000.0000000000
    144      2                        181336                                      26000000000.0000000000
    169      2                        188047                                      26500000000.0000000000
    144      2                        227846                                      27000000000.0000000000
    170      2                        265118                                      32000000000.0000000000
    130      2                        268869                                      36000000000.0000000000
    144      2                        309720                                      36500000000.0000000000
    169      2                        316523                                      41000000000.0000000000
    144      2                        331394                                      42000000000.0000000000
    169      2                        347853                                      43500000000.0000000000
    144      2                        353336                                      45500000000.0000000000
    167      2                        373484                                      46000000000.0000000000
     65      2                        387933                                      48500000000.0000000000
    167      2                        401683                                      50500000000.0000000000
    130      2                        407769                                      52000000000.0000000000
    130      2                        412695                                      52500000000.0000000000
    144      2                        480456                                      53000000000.0000000000
     79      2                        487334                                      61000000000.0000000000
    167      2                        502368                                      61500000000.0000000000
    170      2                        521260                                      63500000000.0000000000
    167      2                        554459                                      65500000000.0000000000
    167      2                        576317                                      69500000000.0000000000
    144      2                        600407                                      72000000000.0000000000
    130      2                        613926                                      74500000000.0000000000
    167      2                        638187                                      76500000000.0000000000
     65      2                        668865                                      79000000000.0000000000
    167      2                        768736                                      82500000000.0000000000
    144      2                        788936                                      94000000000.0000000000
    123      5                        790150                                      96500000000.0000000000
     23      5                        791903                                      97000000000.0000000000
     76      5                        793581                                      97500000000.0000000000
    123      5                        795585                                      98000000000.0000000000
    150      5                        797070                                      98500000000.0000000000
    158      5                        798988                                      99000000000.0000000000
    158      5                        800925                                      99500000000.0000000000
    125      5                        802984                                     100000000000.0000000000
     76      5                        805037                                     100500000000.0000000000
     76      5                        806341                                     101000000000.0000000000
    158      5                        808225                                     101500000000.0000000000
     23      5                        810123                                     102000000000.0000000000
     76      5                        811896                                     102500000000.0000000000
    158      5                        813719                                     103000000000.0000000000
     23      5                        815487                                     103500000000.0000000000
     76      5                        817275                                     104000000000.0000000000
     23      5                        818587                                     104500000000.0000000000
    125      5                        820609                                     105000000000.0000000000
    115      5                        822419                                     105500000000.0000000000
    123      5                        824050                                     106000000000.0000000000
     23      5                        826050                                     106500000000.0000000000
     23      5                        827861                                     107000000000.0000000000
    115      5                        829989                                     107500000000.0000000000
    103      5                        831677                                     108000000000.0000000000
     76      5                        833883                                     108500000000.0000000000
    115      5                        835336                                     109000000000.0000000000
    125      5                        837231                                     109500000000.0000000000
    125      5                        838967                                     110000000000.0000000000
    125      5                        840709                                     110500000000.0000000000
    158      5                        842669                                     111000000000.0000000000
    123      5                        844611                                     111500000000.0000000000
    123      5                        846042                                     112000000000.0000000000
    125      5                        847558                                     112500000000.0000000000
    103      5                        849011                                     113000000000.0000000000
    158      5                        850873                                     113500000000.0000000000
     23      5                        852840                                     114000000000.0000000000
    150      5                        854113                                     114500000000.0000000000
    115      5                        855845                                     115000000000.0000000000
    125      5                        857480                                     115500000000.0000000000
     76      5                        859082                                     116000000000.0000000000
     76      5                        861149                                     116500000000.0000000000
    125      5                        862593                                     117000000000.0000000000
    150      5                        864524                                     117500000000.0000000000
     23      5                        866282                                     118000000000.0000000000
     23      5                        867828                                     118500000000.0000000000
    125      5                        869623                                     119000000000.0000000000
    103      5                        871585                                     119500000000.0000000000
     76      5                        872944                                     120000000000.0000000000
    123      5                        874888                                     120500000000.0000000000
    123      5                        876562                                     121000000000.0000000000
    103      5                        878162                                     121500000000.0000000000
     76      5                        880070                                     122000000000.0000000000
    125      5                        881647                                     122500000000.0000000000
    115      5                        883426                                     123000000000.0000000000
    115      5                        885456                                     123500000000.0000000000
     23      5                        887214                                     124000000000.0000000000
    125      5                        888960                                     124500000000.0000000000
    115      5                        891089                                     125000000000.0000000000
    125      5                        892983                                     125500000000.0000000000
     76      5                        895243                                     126000000000.0000000000
    123      5                        896962                                     126500000000.0000000000
    123      5                        898405                                     127000000000.0000000000
    123      5                        900062                                     127500000000.0000000000
     23      5                        901582                                     128000000000.0000000000
     76      5                        903170                                     128500000000.0000000000
    125      5                        904335                                     129000000000.0000000000
    150      5                        906347                                     129500000000.0000000000
     23      5                        908104                                     130000000000.0000000000
     76      5                        909590                                     130500000000.0000000000
     76      5                        911734                                     131000000000.0000000000
    158      5                        913416                                     131500000000.0000000000
    115      5                        915040                                     132000000000.0000000000
    103      5                        916490                                     132500000000.0000000000
    125      5                        918146                                     133000000000.0000000000
     76      5                        920002                                     133500000000.0000000000
    103      5                        921842                                     134000000000.0000000000
    123      5                        923174                                     134500000000.0000000000
    158      5                        925048                                     135000000000.0000000000
    123      5                        926959                                     135500000000.0000000000
    123      5                        928614                                     136000000000.0000000000
    123      5                        930373                                     136500000000.0000000000
