Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
5788,5788,None,3,5.34077038535e-25,1.6958997823e-12,0.999999998964,1.03597245033e-09,None,None,0.0
5789,5789,None,3,1.81922766479e-23,5.77674683699e-11,0.999999998964,1.03597246457e-09,None,None,0.0
5790,5790,None,3,3.32883689976e-19,1.05703358226e-06,0.999999998964,1.0359724281e-09,None,None,0.0
5791,5791,None,3,3.78275773925e-27,1.2011720827e-14,0.999999998964,1.03597346133e-09,None,None,0.0
5792,5792,None,4,9.33158999086e-23,2.16976826884e-21,1.0,7.58594401743e-21,None,None,0.0
5793,5793,None,4,1.75603132473e-21,4.11169633744e-20,1.0,7.63907374591e-21,None,None,0.0
5794,5794,None,4,1.46592904153e-15,3.43243026825e-14,1.0,7.63907374591e-21,None,None,0.0
5795,5795,None,4,4.35396945652e-19,1.01302059329e-17,1.0,7.59075237708e-21,None,None,0.0
5796,5796,None,4,5.20210893764e-26,1.86274859671e-24,1.0,1.1682256315e-20,None,None,0.0
5797,5797,None,3,2.71313815965e-18,9.68150450488e-17,1.0,1.16418733542e-20,None,None,0.0
5798,5798,None,3,3.84062378331e-26,1.21954690309e-13,0.999999998964,1.03597355506e-09,None,None,0.0
5799,5799,None,4,3.44414080569e-19,1.24127445063e-17,1.0,1.17581459425e-20,None,None,0.0
5800,5800,None,0,2.48443882836e-23,2.47277596876e-10,3.24719517599e-09,0.999999996753,None,None,0.0
5801,5801,None,1,3.52186362761e-29,1.69716008138e-08,0.804601418095,0.195398581905,None,None,0.0
5802,5802,None,1,1.26113735751e-27,6.07732782019e-07,0.804601418095,0.195398581905,None,None,0.0
5803,5803,None,1,3.46638145043e-30,1.6704236298e-09,0.804601418095,0.195398581905,None,None,0.0
5804,5804,None,1,3.4736340406e-30,1.67391859946e-09,0.804601418095,0.195398581905,None,None,0.0
5805,5805,None,3,6.15543758074e-20,1.954587874e-07,0.999999998964,1.03597242849e-09,None,None,0.0
5806,5806,None,3,2.45982688063e-31,7.81090590959e-19,0.999999998964,1.03597384726e-09,None,None,0.0
5807,5807,None,3,1.60532606221e-27,5.09753386502e-15,0.999999998964,1.03597384726e-09,None,None,0.0
5808,5808,None,7,4.05752144066e-18,4.14409513549e-26,3.33212144625e-30,1.0,None,None,0.0
5809,5809,None,7,7.12898422732e-14,7.24672301422e-22,3.31639259221e-30,1.0,None,None,0.0
5810,5810,None,6,2.63930215267e-27,8.38097753303e-15,0.999999998964,1.0359946036e-09,None,None,0.0
5811,5811,None,7,5.09560463584e-19,5.14651787575e-27,3.29510827538e-30,1.0,None,None,0.0
5812,5812,None,7,6.92295210254e-25,1.29006117786e-31,6.07954262175e-29,1.0,None,None,0.0
5813,5813,None,0,2.90972217974e-30,1.78203013347e-17,1.99809184905e-09,0.999999998002,None,None,0.0
5814,5814,None,7,1.04750297507e-14,4.05878502187e-22,1.26413283573e-29,1.0,None,None,0.0
5815,5815,None,7,4.21900970585e-22,1.67420386594e-16,1.29464215569e-16,1.0,None,None,0.0
