Source,Target,Weight,Type,Energy,t,j,f,fe
335,637,0.0410409894995,directed,None,None,2.01669206326e-53,1.75753494358e-41,1.03735786221e-41
88,2535,7.89856454511e-19,directed,None,None,8.85777674401e-57,5.75663285213e-47,5.75662083209e-47
331,1632,0.0423127669611,directed,None,None,-1.20105641479e-47,4.17683833081e-36,6.51170532393e-44
1081,43,0.0426535096754,directed,None,None,-8.88179990547e-50,2.06594581822e-38,3.02267516042e-44
478,1007,0.11149916207,directed,None,None,-8.79484206681e-50,3.35882510828e-38,1.82453401734e-44
1844,317,0.000910074171252,directed,None,None,-6.6235279029e-45,1.08645469845e-40,1.0480369318e-41
2501,3994,0.000476609119348,directed,None,None,1.96015731137e-40,8.96601455563e-36,1.0480369521e-41
5,2501,0.00491077371116,directed,None,None,-9.59620398757e-40,1.59900207229e-34,1.04803683238e-41
2859,15,0.162256645565,directed,None,None,-1.94612330725e-41,3.49224495105e-36,3.71870486625e-43
574,386,0.140702547873,directed,None,None,8.261519749e-40,5.99455746454e-36,6.51640595405e-44
921,4440,0.00992366229399,directed,None,None,4.82287410425e-41,7.80495737143e-38,4.99637924031e-50
631,492,0.00522176888742,directed,None,None,-2.75497467615e-44,6.17964863332e-40,1.76423348309e-46
120,647,0.153641700751,directed,None,None,-3.12457940748e-40,5.19173924264e-37,1.02034723175e-43
61,46,0.000139285031698,directed,None,None,8.7304087635e-51,3.03021497225e-38,2.74651167885e-42
218,933,0.116868344433,directed,None,None,1.43414718904e-34,4.1957913694e-41,1.68629027714e-54
667,605,0.0586562424213,directed,None,None,2.15188324752e-37,3.67583293548e-44,2.53021480948e-57
1408,670,0.00356990889089,directed,None,None,-2.88240525525e-41,3.40320223349e-56,1.94332875653e-56
246,1771,0.00340566673229,directed,None,None,-3.24018036333e-44,1.21690757044e-40,1.22429657013e-51
1067,1008,0.139516339085,directed,None,None,-1.84589378864e-47,2.14883173629e-43,1.97897622289e-53
1130,1840,0.00331070832294,directed,None,None,1.86480840159e-46,1.30082767912e-42,1.28941093437e-51
1357,3478,0.0510350064366,directed,None,None,-9.95476836033e-54,4.77911438929e-50,1.28599005822e-52
1787,3560,0.0255411846188,directed,None,None,3.00777993107e-54,2.1265509536e-50,1.28599005853e-52
999,498,0.0716199139036,directed,None,None,-5.22715972727e-43,6.46720496881e-39,9.19022994813e-48
472,3905,0.103583318216,directed,None,None,-4.49460933773e-44,1.06648217184e-40,5.78896435628e-43
2535,1352,0.10865466772,directed,None,None,-1.9762300782e-56,9.89872929197e-47,5.75662083208e-47
2302,3957,0.0174825121293,directed,None,None,-5.43599448733e-45,2.34835984722e-41,1.34217963176e-47
3720,1348,0.186086281639,directed,None,None,-1.05047091347e-40,4.0759487163e-48,7.07582504624e-52
1771,1130,0.00430593266434,directed,None,None,1.6098883724e-45,2.01204873639e-41,8.31921690308e-52
1014,3205,0.0133223583263,directed,None,None,-1.14354986495e-44,1.25770558798e-41,1.0480369318e-41
2329,2167,0.0282173847877,directed,None,None,1.08099417311e-49,3.07376744462e-45,3.33067141967e-58
2549,3055,0.0858925826764,directed,None,None,1.47940789356e-48,1.20755427011e-44,4.55822377801e-57
2262,963,3.11181581548,directed,None,None,6.62146349575e-53,1.49696667527e-47,1.66194987524e-61
3560,380,0.0618901542285,directed,None,None,3.1576027577e-53,4.07377450268e-49,1.28599005925e-52
269,963,0.0448201180352,directed,None,None,1.45385631534e-50,4.9471248728e-47,3.64915855416e-59
1356,658,0.102447705019,directed,None,None,-4.92944504199e-42,1.90074359965e-38,3.25910467316e-44
6324,1084,0.310951651213,directed,None,None,2.55447426444e-40,3.28618264356e-46,1.05292685444e-58
3049,1067,0.150850180614,directed,None,None,-3.64764519761e-49,1.26245342543e-43,1.98259160419e-53
2543,1028,0.135797876197,directed,None,None,-3.4301527279e-46,2.44778718494e-42,1.37477882573e-52
687,553,0.114231445219,directed,None,None,-3.36701868449e-45,1.65211803604e-33,9.07790172684e-44
270,87,0.0799684007657,directed,None,None,-8.5339125389e-45,3.40137041042e-41,3.07867401021e-42
498,88,0.00236598609652,directed,None,None,2.0404757982e-40,1.70320036616e-36,3.83346659996e-43
1489,177,0.015806637497,directed,None,None,-2.35577481548e-47,4.1703082525e-33,7.80452430396e-44
61,604,0.0807271064076,directed,None,None,7.85785307616e-47,1.75622715261e-35,1.66904858839e-43
358,60,0.0203052643699,directed,None,None,1.8809720631e-44,1.01355885467e-32,2.68373727788e-44
944,133,0.159056647614,directed,None,None,-2.56076609455e-40,5.27032543847e-37,5.7889617039e-43
793,492,0.000966804666175,directed,None,None,9.21752623699e-45,7.90543130901e-41,3.45060252036e-47
386,2859,3.86750174266,directed,None,None,-6.25804378991e-37,1.31757919988e-33,3.7122219092e-43
1770,3810,0.147642632032,directed,None,None,5.23158668092e-43,2.15243751052e-39,1.34223439294e-47
2322,2343,0.0056814569094,directed,None,None,4.31535554864e-41,5.99217729254e-37,1.04803693627e-41
2271,421,0.145798587825,directed,None,None,2.74895925917e-36,1.95131848633e-43,3.23226719509e-56
1011,3720,0.472528190639,directed,None,None,2.87154606796e-40,1.11344834651e-47,7.07582509236e-52
1419,280,0.0190074328065,directed,None,None,7.05851552711e-41,6.1045509251e-43,4.44451102983e-43
317,2324,0.103763463679,directed,None,None,1.43549264669e-45,2.07631791773e-42,1.92007815767e-42
3800,1637,0.155671891752,directed,None,None,-6.42901092958e-43,1.64847542491e-59,4.33135305242e-63
224,291,0.105563779101,directed,None,None,-6.66892739854e-32,7.02092133928e-48,7.68976174549e-50
1422,86,0.112059763144,directed,None,None,5.70078272804e-31,4.03506805253e-47,2.44252753497e-48
1840,1483,0.0259761605322,directed,None,None,-4.59158467504e-46,1.37086448663e-42,9.47770355361e-53
426,4343,0.12714719695,directed,None,None,3.34095588762e-52,1.12968049578e-41,6.22301527786e-61
2276,2587,0.0790482671993,directed,None,None,-6.58957523824e-43,1.77797880772e-38,7.02708086557e-48
2345,2167,0.0266007942465,directed,None,None,1.53330788726e-49,6.37016485906e-45,4.72431386799e-58
291,883,0.0274973486929,directed,None,None,-3.27882764569e-30,1.78599825907e-47,7.32326624701e-49
888,1422,0.000139330272755,directed,None,None,-1.47411293902e-31,4.28342673059e-48,2.31866294501e-48
920,3692,0.0337265676806,directed,None,None,3.48773034405e-47,1.73961593976e-43,1.07460982234e-55
2398,522,0.0209291908778,directed,None,None,-2.86165668703e-55,3.37359944571e-45,4.12310230567e-47
1352,2398,0.0882788918501,directed,None,None,9.95085268354e-55,4.40770944168e-45,4.12310230615e-47
1484,1318,0.151825223808,directed,None,None,-3.23191961603e-47,2.35673577858e-43,3.60208138945e-45
478,938,0.00534740223663,directed,None,None,-1.06472003828e-51,1.61087068354e-39,3.95423102229e-44
938,1081,0.13354885871,directed,None,None,2.18161564641e-49,7.59060505354e-38,2.87941154734e-44
43,47,0.00231410588507,directed,None,None,7.71396127086e-49,1.76644430313e-37,2.78713214171e-45
47,331,0.0952867206056,directed,None,None,-1.30282923947e-48,3.54793709629e-36,3.61845842027e-43
553,283,0.0466230330257,directed,None,None,1.77820305726e-45,5.4884526642e-34,1.86040726267e-43
1498,1626,0.000437659733065,directed,None,None,3.7831561955e-49,2.88647698857e-37,8.56629480718e-48
1632,1499,0.0406124912185,directed,None,None,7.29332758364e-48,1.96499929601e-36,1.21286332319e-43
1499,687,0.153642921531,directed,None,None,-1.57146604331e-45,1.05266948668e-33,1.89773483235e-43
2533,604,0.0177888662382,directed,None,None,4.77934506476e-49,9.65753583838e-38,7.37290224763e-45
46,202,0.122593962208,directed,None,None,8.84806897535e-49,2.23095344161e-37,3.07266143656e-42
600,2533,0.0464860305087,directed,None,None,1.29925337262e-49,3.59348362347e-37,7.37284753439e-45
2043,944,0.0990025739288,directed,None,None,2.23104356837e-45,6.19954133771e-42,5.78896435688e-43
1526,2043,0.00986496361601,directed,None,None,1.49374070916e-45,6.31560882431e-42,5.78896435687e-43
133,120,0.14613816398,directed,None,None,2.37779636453e-40,5.06581406135e-37,2.68812338348e-43
647,62,0.000550722607755,directed,None,None,1.26643905332e-42,1.80588194241e-39,2.81010277359e-44
431,62,0.135076073788,directed,None,None,5.339760778e-40,7.38394627412e-37,3.3043518431e-43
431,1356,0.00101270025615,directed,None,None,1.25297704308e-42,5.53593547216e-39,1.14427630032e-44
966,631,0.0866098956654,directed,None,None,8.1354270815e-43,1.33650825951e-38,2.84987426805e-46
3957,921,0.0655164572937,directed,None,None,-7.66369309066e-44,3.73234600972e-40,1.34217225552e-47
38,574,0.0498660505758,directed,None,None,-5.45102365711e-43,2.44542568062e-38,2.08625740773e-44
15,5,0.00457604762748,directed,None,None,7.96512060107e-39,2.03293720704e-35,3.21958151938e-43
3994,2322,0.0850695700002,directed,None,None,-7.35932245936e-39,1.624971286e-35,1.04803616939e-41
63,968,0.0136521820143,directed,None,None,2.92777532929e-44,1.937061912e-43,1.87227013468e-43
2324,63,0.119085624851,directed,None,None,-2.13721856871e-44,1.97350576927e-42,1.92007815767e-42
968,1419,3.40507551857e-05,directed,None,None,-4.48553637064e-44,4.46692397466e-44,4.29666551179e-44
1348,675,0.134292865749,directed,None,None,-6.30173027847e-40,1.08345413504e-46,7.07582498449e-52
1600,630,0.000431158813,directed,None,None,-1.3128534098e-39,5.50007291956e-47,5.88770076366e-55
675,1600,0.00183401876328,directed,None,None,-5.65800529317e-40,5.06104986064e-47,5.88778860336e-55
678,1401,0.140590023597,directed,None,None,2.60509464965e-36,1.2749553127e-43,3.06310910995e-56
