    138      5                             0                                                0.0000000000
     75      5                          1807                                        500000000.0000000000
     75      5                          2901                                       1000000000.0000000000
     75      5                          4650                                       1500000000.0000000000
    114      5                          6530                                       2000000000.0000000000
    124      5                          8146                                       2500000000.0000000000
    121      5                         10208                                       3000000000.0000000000
     75      5                         11940                                       3500000000.0000000000
    114      5                         13505                                       4000000000.0000000000
     24      5                         15317                                       4500000000.0000000000
     75      5                         17068                                       5000000000.0000000000
    124      5                         18611                                       5500000000.0000000000
     75      5                         20291                                       6000000000.0000000000
    157      5                         21625                                       6500000000.0000000000
    124      5                         23538                                       7000000000.0000000000
    114      5                         25429                                       7500000000.0000000000
    157      5                         27254                                       8000000000.0000000000
    124      5                         28345                                       8500000000.0000000000
    150      5                         30070                                       9000000000.0000000000
    157      5                         31701                                       9500000000.0000000000
     24      5                         33690                                      10000000000.0000000000
    114      5                         34884                                      10500000000.0000000000
    114      5                         36239                                      11000000000.0000000000
     24      5                         38102                                      11500000000.0000000000
    124      5                         39398                                      12000000000.0000000000
    114      5                         40997                                      12500000000.0000000000
    121      5                         42933                                      13000000000.0000000000
     75      5                         44107                                      13500000000.0000000000
    114      5                         45901                                      14000000000.0000000000
     24      5                         47424                                      14500000000.0000000000
    121      5                         49301                                      15000000000.0000000000
    124      5                         50879                                      15500000000.0000000000
    121      5                         52266                                      16000000000.0000000000
    124      5                         54115                                      16500000000.0000000000
     75      5                         56463                                      17000000000.0000000000
     75      5                         57788                                      17500000000.0000000000
    121      5                         59933                                      18000000000.0000000000
     75      5                         61435                                      18500000000.0000000000
     75      5                         63397                                      19000000000.0000000000
    121      5                         65035                                      19500000000.0000000000
    124      5                         66608                                      20000000000.0000000000
    124      5                         68522                                      20500000000.0000000000
     75      5                         70305                                      21000000000.0000000000
    157      5                         71632                                      21500000000.0000000000
     24      5                         73036                                      22000000000.0000000000
     24      5                         74661                                      22500000000.0000000000
    124      5                         76839                                      23000000000.0000000000
     24      5                         78514                                      23500000000.0000000000
    157      5                         79991                                      24000000000.0000000000
    114      5                         81540                                      24500000000.0000000000
    150      5                         83599                                      25000000000.0000000000
    150      5                         85131                                      25500000000.0000000000
     24      5                         86335                                      26000000000.0000000000
    124      5                         88094                                      26500000000.0000000000
    124      5                         90098                                      27000000000.0000000000
    114      5                         91768                                      27500000000.0000000000
    150      5                         93669                                      28000000000.0000000000
    102      5                         95074                                      28500000000.0000000000
    114      5                         97056                                      29000000000.0000000000
     75      5                         98663                                      29500000000.0000000000
    114      5                        100443                                      30000000000.0000000000
    157      5                        102817                                      30500000000.0000000000
     75      5                        103510                                      31000000000.0000000000
     75      5                        104771                                      31500000000.0000000000
     24      5                        106646                                      32000000000.0000000000
    121      5                        107896                                      32500000000.0000000000
     75      5                        109768                                      33000000000.0000000000
    150      5                        111809                                      33500000000.0000000000
    121      5                        113100                                      34000000000.0000000000
     24      5                        114556                                      34500000000.0000000000
    157      5                        116483                                      35000000000.0000000000
    121      5                        118277                                      35500000000.0000000000
     75      5                        119907                                      36000000000.0000000000
     24      5                        121435                                      36500000000.0000000000
    114      5                        123542                                      37000000000.0000000000
    150      5                        124605                                      37500000000.0000000000
     75      5                        126289                                      38000000000.0000000000
    102      5                        127869                                      38500000000.0000000000
     24      5                        129769                                      39000000000.0000000000
    121      5                        131092                                      39500000000.0000000000
     75      5                        132681                                      40000000000.0000000000
    157      5                        134562                                      40500000000.0000000000
    150      5                        136479                                      41000000000.0000000000
    114      5                        138716                                      41500000000.0000000000
    124      5                        140541                                      42000000000.0000000000
     24      5                        142280                                      42500000000.0000000000
     24      5                        144135                                      43000000000.0000000000
     75      5                        145799                                      43500000000.0000000000
     75      5                        147640                                      44000000000.0000000000
    121      5                        149566                                      44500000000.0000000000
    150      5                        151174                                      45000000000.0000000000
    124      5                        152914                                      45500000000.0000000000
    150      5                        154523                                      46000000000.0000000000
    114      5                        155864                                      46500000000.0000000000
    121      5                        158134                                      47000000000.0000000000
     75      5                        160009                                      47500000000.0000000000
    114      5                        161631                                      48000000000.0000000000
    157      5                        163285                                      48500000000.0000000000
    150      5                        164893                                      49000000000.0000000000
    157      5                        166525                                      49500000000.0000000000
     24      5                        168010                                      50000000000.0000000000
    102      5                        169516                                      50500000000.0000000000
    150      5                        171171                                      51000000000.0000000000
    157      5                        172961                                      51500000000.0000000000
    150      5                        174713                                      52000000000.0000000000
    124      5                        176200                                      52500000000.0000000000
     24      5                        178029                                      53000000000.0000000000
     24      5                        180152                                      53500000000.0000000000
     75      5                        181381                                      54000000000.0000000000
    157      5                        183269                                      54500000000.0000000000
     24      5                        185059                                      55000000000.0000000000
    114      5                        187056                                      55500000000.0000000000
     75      5                        188759                                      56000000000.0000000000
     75      5                        190363                                      56500000000.0000000000
    121      5                        191640                                      57000000000.0000000000
     24      5                        193260                                      57500000000.0000000000
    150      5                        195162                                      58000000000.0000000000
     24      5                        196523                                      58500000000.0000000000
    124      5                        198296                                      59000000000.0000000000
    121      5                        199619                                      59500000000.0000000000
    150      5                        201256                                      60000000000.0000000000
     75      5                        202563                                      60500000000.0000000000
     24      5                        203978                                      61000000000.0000000000
     75      5                        205303                                      61500000000.0000000000
    114      5                        206839                                      62000000000.0000000000
    121      5                        208608                                      62500000000.0000000000
    114      5                        210436                                      63000000000.0000000000
    121      5                        212247                                      63500000000.0000000000
     24      5                        213956                                      64000000000.0000000000
    114      5                        216008                                      64500000000.0000000000
    157      5                        217742                                      65000000000.0000000000
     75      5                        219327                                      65500000000.0000000000
    124      5                        221095                                      66000000000.0000000000
