# cumulative flux      cumulative relative flux      alpha=0.250000
0    0.000011106783    0.153485047743
1    0.000018276177    0.252559178287
2    0.000023944819    0.330894346784
3    0.000028880725    0.399103810909
4    0.000033470097    0.462524524229
5    0.000037158586    0.513495894795
6    0.000040049329    0.553443171526
7    0.000042617725    0.588935932563
8    0.000045177254    0.624306163820
9    0.000047662926    0.658655755994
10    0.000050008260    0.691066006862
11    0.000052226932    0.721725923729
12    0.000054204346    0.749051882091
13    0.000056103870    0.775301468753
14    0.000057826522    0.799106863808
15    0.000059504482    0.822294655870
16    0.000061172790    0.845349074572
17    0.000062811245    0.867990939271
18    0.000064399855    0.889943995128
19    0.000065874411    0.910320948450
20    0.000067138106    0.927784001225
21    0.000068164587    0.941968976553
22    0.000068957092    0.952920635350
23    0.000069638586    0.962338221961
24    0.000070254313    0.970846971862
25    0.000070856093    0.979162990814
26    0.000071405780    0.986759145432
27    0.000071931500    0.994024080597
28    0.000072259834    0.998561348815
29    0.000072344417    0.999730203143
30    0.000072357016    0.999904312955
31    0.000072363941    1.000000000000
