# average stat prob      surprisal      approx. JS divergence
# total JS divergence: -0.462264804609
0.003917262522    0.000900809050    0.000003528706
0.000525800019    0.156358157935    0.000082213122
0.026456416028    -0.626950484115    -0.016586862837
0.000237360452    0.138136026179    0.000032788030
0.000600915553    0.152852769759    0.000091851607
0.000363973242    0.107021897664    0.000038953107
0.000736004008    0.059948691663    0.000044122477
0.000190296468    0.112121336651    0.000021336294
0.000011983644    0.055339436802    0.000000663168
0.000063146122    0.153090335627    0.000009667061
0.000103448413    0.098084553646    0.000010146691
0.000000051351    0.072968896345    0.000000003747
0.000056782516    0.049123669420    0.000002789366
0.000700177003    0.084565921398    0.000059211113
0.000000023803    0.034571839476    0.000000000823
0.000000465469    0.168004260863    0.000000078201
0.000098466358    0.143958449513    0.000014175064
0.000226946658    0.209528330496    0.000047551754
0.000066992443    0.086196675497    0.000005774526
0.000185150253    0.142354369753    0.000026356948
0.000650097895    0.137087488875    0.000089120288
0.032700124586    -0.626132865593    -0.020474622712
0.000089769811    0.136084184681    0.000012216251
0.000020124771    0.210903123587    0.000004244377
0.000000448443    0.229972874479    0.000000103130
0.003038967072    -0.001722637536    -0.000005235039
0.006772155980    -0.030404409599    -0.000205903404
0.000008406559    0.083373835051    0.000000700887
0.000000226959    0.190454367569    0.000000043225
0.000025057573    0.076047745871    0.000001905572
0.000015241146    0.116066214682    0.000001768982
0.000005062003    0.096803875864    0.000000490022
0.000091058804    0.042855962916    0.000003902413
0.000261249318    0.185894345111    0.000048564771
0.000031512221    0.151974322582    0.000004789048
0.000026201358    0.136704699018    0.000003581849
0.000003799965    0.130868531116    0.000000497296
0.000003755108    0.126134020993    0.000000473647
0.000168527126    0.126844347708    0.000021376713
0.001195016629    0.116482398376    0.000139198403
0.000000018832    0.117545721637    0.000000002214
0.000123572304    0.067763735256    0.000008373721
0.000237938519    0.121988901427    0.000029025858
0.000028532130    0.082502265282    0.000002353965
0.000003215573    0.106988327588    0.000000344029
0.000560222663    0.181733166704    0.000101811039
0.000011474228    0.030310481082    0.000000347789
0.000152034406    0.126525986818    0.000019236303
0.000043495501    0.120129876789    0.000005225109
0.000153536440    0.086257570460    0.000013243680
0.000298519953    0.078717220209    0.000023498661
0.000361040131    0.112060912546    0.000040458487
0.000002210634    0.042298144012    0.000000093506
0.000000022970    0.077988708240    0.000000001791
0.000161043485    0.120176188954    0.000019353592
0.000015807698    0.130777232935    0.000002067287
0.000319705752    0.076082557029    0.000024324031
0.000001911892    0.143238221065    0.000000273856
0.000240496344    0.233175841386    0.000056077937
0.001189674426    0.102810097015    0.000122310543
0.042500876419    -0.786680787953    -0.033434622950
0.000000044177    0.073233288304    0.000000003235
0.000041904816    0.059275577350    0.000002483932
0.000200703053    0.095992485827    0.000019265985
0.000866796440    0.178216679928    0.000154477584
0.000939324200    0.187877495400    0.000176477878
0.000102923768    0.212646492659    0.000021886378
0.000067250952    0.194194023717    0.000013059733
0.000003815640    0.136319012310    0.000000520144
0.000596616865    0.143013965714    0.000085324544
0.000021108685    0.043823983010    0.000000925067
0.000002600885    0.054442385475    0.000000141598
0.000002720024    0.025723947887    0.000000069970
0.000631011688    0.095319089310    0.000060147459
0.000173302030    0.118411894678    0.000020521022
0.000000405829    0.168596598699    0.000000068421
0.000165226344    0.153938802481    0.000025434745
0.000617222119    0.021548763705    0.000013300374
0.000028018177    0.091116424508    0.000002552916
0.000060558318    0.101968599101    0.000006175047
0.000000066585    0.059814199097    0.000000003983
0.000001913960    0.051182938743    0.000000097962
0.000137840896    0.112153464545    0.000015459334
0.000110127703    0.208884901172    0.000023004014
0.000002866049    0.127663807761    0.000000365891
0.002115098381    0.041219486010    0.000087183268
0.000281929678    0.128964619661    0.000036358954
0.000000803891    0.049819295267    0.000000040049
0.000001197260    0.190062662314    0.000000227554
0.000528801756    0.178450111011    0.000094364732
0.000070087800    0.184293962242    0.000012916758
0.000076676610    0.141186623746    0.000010825712
0.000088439288    0.154356101501    0.000013651144
0.000017490582    0.056344162582    0.000000985492
0.000069492465    0.119300189490    0.000008290464
0.000038176947    0.142961210590    0.000005457823
0.000183537255    0.095386303575    0.000017506940
0.000000401540    0.096164707652    0.000000038614
0.000941230707    0.136978627725    0.000128928491
0.000723601581    0.160969758985    0.000116477972
0.001268049786    0.093751805511    0.000118881957
0.000000915772    0.091063907276    0.000000083394
0.000000539447    0.145591124493    0.000000078539
0.000053862866    0.133264835143    0.000007178026
0.000056070711    0.118205467110    0.000006627865
0.000163209705    0.124959303724    0.000020394571
0.000096967621    0.091451480028    0.000008867832
0.000000724423    0.142176638265    0.000000102996
0.000007235250    0.131408809850    0.000000950776
0.000219893657    0.071548137024    0.000015732981
0.000284642891    0.128061083190    0.000036451677
0.000214363050    0.138125649836    0.000029609036
0.000264839464    0.153647576161    0.000040691942
0.000000929235    0.042547333727    0.000000039536
0.001366593297    0.021098489742    0.000028833055
0.000000022593    0.160327819130    0.000000003622
0.000187418996    0.054866598546    0.000010283043
0.000000269138    0.095247062766    0.000000025635
0.000005700638    0.048550914116    0.000000276771
0.000580491825    0.119793605405    0.000069539209
0.000000019775    0.179018305190    0.000000003540
0.000040876396    0.126780470196    0.000005182329
0.000000573569    0.060903624675    0.000000034932
0.000000297634    0.087096747471    0.000000025923
0.000255540417    0.117442787494    0.000030011379
0.002359535366    0.122203008171    0.000288342320
0.000000004613    0.084993091931    0.000000000392
0.000063822351    0.082049540847    0.000005236595
0.001209182964    0.146477399166    0.000177117976
0.001003633339    0.159184394575    0.000159762765
0.000000000966    0.119712180050    0.000000000116
0.000000587226    0.131100691185    0.000000076986
0.000252336203    0.088998804185    0.000022457620
0.000011658979    0.078082232066    0.000000910359
0.007855311791    -0.273447607337    -0.002148016214
0.000001211706    0.229096339988    0.000000277597
0.000046212114    0.120130213112    0.000005551471
0.000078934388    0.101813782824    0.000008036609
0.000047540638    0.059460227578    0.000002826777
0.000000001613    0.085777951050    0.000000000138
0.000129004861    0.061198899951    0.000007894956
0.000008716888    0.150502261024    0.000001311911
0.000001052410    0.041939921035    0.000000044138
0.000316695763    0.043068360396    0.000013639567
0.002385481845    0.086282815127    0.000205826089
0.000007640256    0.007300802069    0.000000055780
0.000625197293    0.070531545793    0.000044096131
0.000000021072    0.081443314535    0.000000001716
0.000008212446    0.066809750368    0.000000548671
0.000024965512    0.135276821790    0.000003377255
0.000065498624    0.189057782381    0.000012383025
0.000115381653    0.068766373277    0.000007934378
0.000000026810    0.102958352074    0.000000002760
0.000689798673    0.069401289430    0.000047872917
0.000143830263    0.065238426792    0.000009383260
0.000073647681    0.069742684575    0.000005136387
