Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
1,1,None,1,1.13093935579e-07,-1.26430090334,0.086530865627,0.913469134373,0.787759171977,0.105234017294,0.00100200400802
2,2,None,2,0.000314724165716,-1.87323845645,0.366965397996,0.633034602004,0.71014105569,0.0884539689089,0.00100200400802
3,3,None,3,5.10538159109e-07,-2.58841652036,0.232907882775,0.767092117225,0.861505644356,0.0510238245115,0.00100200400802
4,4,None,3,0.000759178654678,-0.426911353657,0.063458261483,0.936541738517,0.77095020991,0.0855394505799,0.00100200400802
5,5,None,4,0.000641488453972,-1.32655974208,0.763738301835,0.236261698165,0.719600852377,0.113090092899,0.00100200400802
6,6,None,3,3.21332212686e-07,-2.28440720476,0.188222964496,0.811777035504,0.764040652206,0.167367565084,0.00100200400802
7,7,None,0,0.000486237209791,-1.44568779601,0.745960136591,0.254039863409,0.840680515442,0.0629929865734,0.00100200400802
8,8,None,2,4.60988701288e-06,-2.63647163413,0.311767983853,0.688232016147,0.46002763138,0.235705591278,0.00100200400802
9,9,None,4,1.05370498582e-05,-1.07135626086,0.895624083281,0.104375916719,0.746075664653,0.103316427378,0.00100200400802
10,10,None,1,0.000375795293814,-0.667742486313,0.093391365149,0.906608634851,0.68952155274,0.131106762608,0.00100200400802
11,11,None,0,8.17148422931e-08,-0.163629079832,0.989871132939,0.010128867061,0.868229043467,0.0572470198177,0.00100200400802
12,12,None,0,1.95453776385e-05,-0.390784601279,0.962556997084,0.037443002916,0.900954374587,0.0488763293262,0.00100200400802
13,13,None,2,0.000632674913814,-1.63564019299,0.33286577693,0.66713422307,0.656729622456,0.175305577968,0.00100200400802
14,14,None,2,0.00063323088592,-1.55459556387,0.302739079456,0.697260920544,0.853396127389,0.0334855355521,0.00100200400802
15,15,None,4,0.000202047743462,-0.836046567902,0.889515840678,0.110484159322,0.760820350391,0.0924002652706,0.00100200400802
16,16,None,4,0.000403834048789,-0.868773420747,0.872593016297,0.127406983703,0.766370538685,0.0589722009403,0.00100200400802
17,17,None,2,7.3259507534e-06,-2.48203411251,0.700216450705,0.299783549295,0.796985829439,0.0804012972818,0.00100200400802
18,18,None,1,1.28535867901e-06,-1.07808381231,0.087057497987,0.912942502013,0.815371111817,0.0813529679392,0.00100200400802
19,19,None,4,2.25104046172e-06,-1.21564556061,0.895624083281,0.104375916719,0.905884268146,0.0343314989108,0.00100200400802
20,20,None,3,0.00109660422726,-0.328087339012,0.050709614971,0.949290385029,0.737789169798,0.152503049857,0.00100200400802
21,21,None,3,1.6727464578e-06,-1.97537032129,0.181428861986,0.818571138014,0.610800290635,0.124809309889,0.00100200400802
22,22,None,0,0.0188712695555,-0.0,1.0,0.0,0.763743740655,-0.797143439659,0.00100200400802
23,23,None,2,9.6954764236e-06,-2.60371090428,0.343633735425,0.656366264575,0.815553211871,0.0857209206838,0.00100200400802
24,24,None,1,7.55687527702e-05,-1.75910816819,0.245746714202,0.754253285798,0.638964197265,0.174300589238,0.00100200400802
25,25,None,2,0.000793491805147,-1.65757664305,0.366523111465,0.633476888535,0.649847070963,0.153282042846,0.00100200400802
26,26,None,2,4.65342582737e-06,-2.63361688378,0.311586829677,0.688413170323,0.341333448758,0.313468537137,0.00100200400802
27,27,None,2,2.70794442972e-06,-2.98351927103,0.368608005455,0.631391994545,0.860876394783,0.0510965021947,0.00100200400802
28,28,None,0,1.28487594586e-05,-2.640819793,0.624563505201,0.375436494799,0.790956571923,0.0884187211635,0.00100200400802
29,29,None,3,0.00012247096184,-0.878470622189,0.109519649352,0.890480350648,0.63388049638,0.181562076022,0.00100200400802
30,30,None,0,0.000156189746339,-1.54782064782,0.770919979313,0.229080020687,0.678212399932,0.172861238284,0.00100200400802
31,31,None,2,7.2109349564e-06,-2.72379526452,0.358762564202,0.641237435798,0.840709536455,0.0727598527603,0.00100200400802
32,32,None,4,7.78916074718e-05,-1.41216258254,0.817373292072,0.182626707928,0.874172792155,0.0841094256034,0.00100200400802
33,33,None,3,7.88695980359e-07,-2.16241062153,0.189962314403,0.810037685597,0.751181097406,0.115159455728,0.00100200400802
34,34,None,0,2.52048313334e-07,-0.170960788616,0.988618332963,0.011381667037,0.75050515557,0.14729521444,0.00100200400802
35,35,None,0,0.000420897425197,-1.49502433821,0.740140458834,0.259859541166,0.801873695468,0.0759848095734,0.00100200400802
36,36,None,2,0.000183761580343,-1.80665385928,0.300075830833,0.699924169167,0.899157873113,0.035507155374,0.00100200400802
37,37,None,3,7.53940745767e-05,-0.680766416175,0.077760863188,0.922239136812,0.822864788443,0.125822320959,0.00100200400802
