# cumulative flux      cumulative relative flux      alpha=0.750000
0    0.000003800014    0.052512533804
1    0.000007554086    0.104390190045
2    0.000011209877    0.154909708421
3    0.000014751837    0.203856186720
4    0.000018136687    0.250631554934
5    0.000021453687    0.296469302955
6    0.000024551560    0.339278928456
7    0.000026640319    0.368143565209
8    0.000028728282    0.396997198461
9    0.000030745542    0.424873792326
10    0.000032626319    0.450864321799
11    0.000034329747    0.474404049597
12    0.000036016905    0.497718958089
13    0.000037571585    0.519203134736
14    0.000039046744    0.539588407504
15    0.000040482865    0.559434219467
16    0.000041897311    0.578980507558
17    0.000043283632    0.598138132134
18    0.000044463253    0.614439349879
19    0.000045622611    0.630460566455
20    0.000046747428    0.646004449259
21    0.000047835741    0.661043898165
22    0.000048913009    0.675930701504
23    0.000049953608    0.690310772554
24    0.000050913858    0.703580504931
25    0.000051856274    0.716603792244
26    0.000052757957    0.729064179332
27    0.000053657715    0.741497965755
28    0.000054551785    0.753853160178
29    0.000055413583    0.765762373000
30    0.000056274094    0.777653802590
31    0.000057124864    0.789410623382
32    0.000057955603    0.800890647035
33    0.000058762363    0.812039286935
34    0.000059560278    0.823065700225
35    0.000060343167    0.833884483120
36    0.000061087648    0.844172490911
37    0.000061828446    0.854409611237
38    0.000062553939    0.864435213038
39    0.000063237584    0.873882532770
40    0.000063892233    0.882929149694
41    0.000064528734    0.891724991647
42    0.000065096342    0.899568776836
43    0.000065649064    0.907206866122
44    0.000066194329    0.914741903740
45    0.000066715951    0.921950212749
46    0.000067229545    0.929047592556
47    0.000067743032    0.936143492235
48    0.000068202878    0.942498117211
49    0.000068649891    0.948675410514
50    0.000069069067    0.954468021294
51    0.000069485395    0.960221268362
52    0.000069894914    0.965880427906
53    0.000070281805    0.971226892810
54    0.000070665597    0.976530521059
55    0.000071047384    0.981806449887
56    0.000071393477    0.986589128370
57    0.000071714242    0.991021788292
58    0.000071940600    0.994149839712
59    0.000072093495    0.996262695737
60    0.000072223829    0.998063787559
61    0.000072327602    0.999497831870
62    0.000072363941    1.000000000000
