4.06812  0  1  1  172  1  1  1
4.17703  0  1  1  355  1  1  1
3.37726  0  1  1  372  1  1  1
4.52412  0  1  1  463  1  1  1
4.79764  0  1  1  614  1  1  1
3.55901  0  1  1  678  1  1  1
3.33619  0  1  1  824  1  1  1
3.35533  0  1  1  845  1  1  1
3.33395  0  1  1  877  1  1  1
-1.26009  0  1  2  25  1  1  1
-0.824701  0  1  2  150  1  1  1
-0.845317  0  1  2  226  1  1  1
-1.09686  0  1  2  401  1  1  1
-1.05336  0  1  2  439  1  1  1
-1.31846  0  1  2  480  1  1  1
-1.32079  0  1  2  650  1  1  1
-1.35267  0  1  2  744  1  1  1
-0.991338  0  1  2  792  1  1  1
-0.844328  0  1  2  815  1  1  1
-1.02592  0  1  2  952  1  1  1
2.48916  0  1  3  33  1  1  1
3.28091  0  1  3  394  1  1  1
2.78111  0  1  3  407  1  1  1
2.49212  0  1  3  415  1  1  1
2.55489  0  1  3  696  1  1  1
-1.41243  0  1  4  139  1  1  1
-1.80845  0  1  4  183  1  1  1
-1.14138  0  1  4  198  1  1  1
-1.39197  0  1  4  375  1  1  1
-1.65485  0  1  4  579  1  1  1
-1.80177  0  1  4  667  1  1  1
-1.81329  0  1  4  735  1  1  1
-0.952646  0  1  4  762  1  1  1
-1.90406  0  1  4  968  1  1  1
-1.44277  0  1  5  94  1  1  1
-1.74297  0  1  5  278  1  1  1
-1.73941  0  1  5  313  1  1  1
-1.30933  0  1  5  382  1  1  1
-1.76744  0  1  5  422  1  1  1
-1.52398  0  1  5  484  1  1  1
-1.57685  0  1  5  559  1  1  1
-1.7309  0  1  5  871  1  1  1
-1.72923  0  1  5  967  1  1  1
2.72521  0  1  6  33  1  1  1
2.78728  0  1  6  147  1  1  1
2.71521  0  1  6  156  1  1  1
2.65269  0  1  6  207  1  1  1
2.72355  0  1  6  675  1  1  1
2.74827  0  1  6  696  1  1  1
-1.56349  0  1  7  35  1  1  1
-1.54681  0  1  7  304  1  1  1
-1.40009  0  1  7  523  1  1  1
-1.26592  0  1  7  783  1  1  1
-1.59293  0  1  7  914  1  1  1
1.15824  0  1  8  26  1  1  1
1.87142  0  1  8  78  1  1  1
1.51631  0  1  8  83  1  1  1
1.50585  0  1  8  220  1  1  1
1.20188  0  1  8  319  1  1  1
1.42185  0  1  8  366  1  1  1
1.31829  0  1  8  391  1  1  1
1.16432  0  1  8  504  1  1  1
