     62      6                             0                                                0.0000000000
     62      6                           731                                        500000000.0000000000
     75      6                          4651                                      24000000000.0000000000
     75      6                         11846                                     158000000000.0000000000
     84      6                         13134                                     404500000000.0000000000
    144      2                         26752                                     444500000000.0000000000
    167      2                         66302                                     446000000000.0000000000
    170      2                         88428                                     450500000000.0000000000
    170      2                        106991                                     453000000000.0000000000
    167      2                        111601                                     455000000000.0000000000
    170      2                        114547                                     455500000000.0000000000
    144      2                        135681                                     456000000000.0000000000
    169      2                        137188                                     458500000000.0000000000
    144      2                        161465                                     459000000000.0000000000
    144      2                        200962                                     461500000000.0000000000
     79      2                        207761                                     466000000000.0000000000
    144      2                        238743                                     467000000000.0000000000
     65      2                        241541                                     470500000000.0000000000
     91      2                        251953                                     471000000000.0000000000
     79      2                        256637                                     472000000000.0000000000
    167      2                        268555                                     472500000000.0000000000
    167      2                        308840                                     474000000000.0000000000
     65      2                        315086                                     478500000000.0000000000
    121      2                        319427                                     479500000000.0000000000
     91      2                        324049                                     480000000000.0000000000
     79      2                        328184                                     480500000000.0000000000
    167      2                        344743                                     481000000000.0000000000
    169      2                        352181                                     483000000000.0000000000
    121      2                        354471                                     483500000000.0000000000
    130      2                        363381                                     484000000000.0000000000
    170      2                        393496                                     485000000000.0000000000
    169      2                        398994                                     488500000000.0000000000
    130      2                        408513                                     489000000000.0000000000
    144      2                        436977                                     490000000000.0000000000
     75      6                        437047                                     493500000000.0000000000
     62      6                        437190                                     496000000000.0000000000
    129      6                        437190                                     500187530525.4262367487
